system:index,B10,B2,B3,B4,B5,B6,B7,Hillshade,MNDWI,NDVI,id,slope,.geo,Class,Sensor,B10_normalized
65_0,291.27435,0.1836203,0.16854781,0.1529011,0.13139631,0.123418644,0.09852981,248,0.1545697,-0.07564188,473822413,23.358555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.47959422363394,-43.46670294288672]}",BareSurface,LT04,0.6528688438381178
66_0,293.00906,0.1722999,0.15933272,0.15016268,0.12453067,0.14168864,0.11135707,255,0.058614038,-0.093311355,7798782,36.18166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.49106837440044,-43.46945588679922]}",BareSurface,LT04,0.6897270401447543
67_0,290.39716,0.15390426,0.14090256,0.1255169,0.11423221,0.13255364,0.10173663,216,0.03053113,-0.04706876,287092883,12.494545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.49245243766836,-43.48134774101117]}",BareSurface,LT04,0.634230776830825
68_0,293.86685,0.17513001,0.15933272,0.1529011,0.1279635,0.13712114,0.10494344,255,0.074924245,-0.08878869,828351513,42.488884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.52720616737045,-43.44881097389922]}",BareSurface,LT04,0.7079529062606305
69_0,283.59134,0.1270183,0.10711392,0.09265587,0.073038384,0.06175743,0.050427567,151,0.26858604,-0.11839568,-1600343853,17.310694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.55168821597414,-43.44728879009276]}",BareSurface,LT04,0.4896243298813987
70_0,295.56412,0.17654505,0.16240442,0.15563951,0.13826194,0.15310737,0.12418434,255,0.029466547,-0.0591272,-1125136496,36.57244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.647428799335,-43.432766821636925]}",BareSurface,LT04,0.7440155973417718
71_0,293.86685,0.17088486,0.1716195,0.1529011,0.13826194,0.17366113,0.14021842,246,-0.005912938,-0.0502782,-1113191230,26.126165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.63866780341192,-43.410048349944354]}",BareSurface,LT04,0.7079529062606305
72_0,290.39716,0.17088486,0.15626103,0.14468583,0.121097855,0.1211349,0.10494344,209,0.12662813,-0.08874878,-2008704424,16.62804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.6807855978541,-43.3629001925008]}",BareSurface,LT04,0.634230776830825
73_0,281.70273,0.121358104,0.10404223,0.08717903,0.073038384,0.08231117,0.060048014,116,0.116612114,-0.08825909,1111476691,37.3989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.6818793830506,-43.36614486244736]}",BareSurface,LT04,0.44949614815264877
74_0,281.70273,0.19635576,0.1746912,0.15563951,0.1279635,0.1074324,0.085702546,184,0.23840187,-0.097587176,-764124967,7.423045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.6807607568223,-43.296986736839266]}",BareSurface,LT04,0.44949614815264877
75_0,287.72446,0.1949407,0.18083458,0.1665932,0.14512758,0.11885115,0.09211618,212,0.2068281,-0.06886167,-51008447,6.9203367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.76295086969793,-43.275305334439906]}",BareSurface,LT04,0.5774426674242101
76_0,289.95605,0.1581494,0.14704594,0.139209,0.12453067,0.1257024,0.10173663,255,0.07825362,-0.05565461,-1167931874,38.06175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87009492636892,-43.30978481727028]}",BareSurface,LT04,0.6248583059435757
77_0,292.5778,0.13126345,0.11632901,0.10634796,0.097068116,0.14625613,0.11777071,215,-0.11397114,-0.045620028,776290800,9.786788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.91637390573396,-43.281733591198]}",BareSurface,LT04,0.6805638568235083
78_0,289.95605,0.16239455,0.15318933,0.139209,0.1279635,0.13483739,0.10815026,255,0.06371611,-0.0420908,1869753187,36.57065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.84318981850703,-43.27112123514291]}",BareSurface,LT04,0.6248583059435757
79_0,298.47803,0.14258386,0.13168748,0.12004007,0.110799395,0.102864906,0.079288915,250,0.1228833,-0.04003073,-967386150,35.24894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[171.21532026792775,-43.01898010701485]}",BareSurface,LT04,0.8059288086565586
80_0,278.3141,0.114282854,0.094827145,0.08170219,0.06960557,0.07089242,0.053634383,134,0.14442906,-0.07994714,-267470493,30.46477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[171.24980239618193,-42.98784251834981]}",BareSurface,LT04,0.37749633852996806
81_0,293.00906,0.15390426,0.14397426,0.13647059,0.12453067,0.1302699,0.10815026,239,0.049971383,-0.045746572,1428836761,18.8837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[171.3782399267877,-42.929406987108145]}",BareSurface,LT04,0.6897270401447543
82_0,297.23773,0.1722999,0.17776288,0.17754687,0.17945577,0.20563361,0.16266613,255,-0.07269427,0.0053470144,1444318600,38.129097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[171.4743937787212,-42.85961854661527]}",BareSurface,LT04,0.7795755733151343
83_0,288.62238,0.1383387,0.12861578,0.12277848,0.11766504,0.12798615,0.09852981,181,0.002453737,-0.021266721,-1634630939,3.740051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[171.5183510972115,-42.93426140341591]}",BareSurface,LT04,0.5965211944561959
84_0,297.65256,0.1439989,0.13783087,0.14194742,0.13139631,0.16680987,0.1370116,253,-0.095125176,-0.038600154,991561922,22.855448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.8710160339983,-43.39893070111672]}",BareSurface,LT04,0.7883896607267952
85_0,295.56412,0.1553193,0.15011764,0.14468583,0.13139631,0.15539113,0.11456389,220,-0.017261341,-0.04813613,-481011079,13.335041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87958647420294,-43.37381754958632]}",BareSurface,LT04,0.7440155973417718
86_0,299.29797,0.14541395,0.13783087,0.13099374,0.13139631,0.15539113,0.11777071,208,-0.05988725,0.0015342417,-1668115194,6.103566,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.889511813829,-43.41407753738621]}",BareSurface,LT04,0.8233504580848006
87_0,302.52515,0.15107416,0.15318933,0.1529011,0.14512758,0.17822862,0.14021842,255,-0.07555199,-0.026083123,-180248392,27.41826,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.90537890680437,-43.45704276274765]}",BareSurface,LT04,0.8919198638972151
88_0,305.28345,0.1666397,0.1716195,0.16933163,0.16229168,0.18964736,0.14663205,255,-0.049901772,-0.021228753,-363389089,36.501778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.90833526710398,-43.46379844266734]}",BareSurface,LT04,0.950526756618534
89_0,297.65256,0.1722999,0.1716195,0.16385478,0.15542604,0.20334986,0.16587295,246,-0.08462119,-0.026399136,1195110373,36.096584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.98473623464548,-43.450327611120876]}",BareSurface,LT04,0.7883896607267952
90_0,300.9219,0.1722999,0.18390627,0.19123898,0.18632142,0.21933609,0.17228658,255,-0.08786235,-0.01302457,-1604940762,36.444305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[171.05960534762607,-43.421408966070516]}",BareSurface,LT04,0.8578548598166387
91_0,292.5778,0.13267851,0.1194007,0.10634796,0.09020248,0.096013665,0.076082096,191,0.10856768,-0.082144216,-1237746663,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1776481745,-43.688862799227095]}",BareSurface,LT04,0.6805638568235083
92_0,293.00906,0.13409355,0.1194007,0.10360955,0.097068116,0.09372991,0.076082096,202,0.12044628,-0.032596707,1950780195,4.77286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20007501704845,-43.653906401248406]}",BareSurface,LT04,0.6897270401447543
